unitid,bball_power_rating,name,year,state,sector,degree_status,institution_cat,size_cat,n_firstyear_enrolled,zipcode,longitude,latitude,carneigie_cat,religious_affiliation,total_price_local,total_price_instate,total_price_outofstate,disabilities_percent,total_enrollment,percent_asian,percent_black_or_african_american,percent_hispanic,percent_white,percent_women,percent_all_distance,percent_some_distance,student_faculty_ratio,average_instructor_salary,percent_finanical_aid,percent_pell_grant,graduation_rate,require_test_score,total_applicants,total_men_applicants,total_women_applicants,total_admitted,total_men_admitted,total_women_admitted,total_enrolled,total_men_enrolled,total_women_enrolled,percent_admitted,student_service_expenses,endowment_assets,major_education,major_engineering,major_biological_sciences,major_mathematics,major_physical_sciences,major_business,retention_rate
199847,0.7242,Wake Forest University,2018,North Carolina,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,27106,-80.277446,36.133609,Doctoral Universities: High Research Activity,Not applicable,71638,71638,71638,More than 3 percent,5225,4,6,7,69,53,0,1,10,105028,49,10,89,Neither required nor recommended,12937,5565,7372,3803,1820,1983,1421,703,718,29,4271,158518,17,0,230,101,74,552,94
219709,0.7217,Belmont University,2018,Tennessee,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,37212-3757,-86.794807,36.135589,Doctoral/Professional Universities,Interdenominational,52760,52760,52760,More than 3 percent,6666,2,5,6,80,65,0,27,14,90714,73,17,73,Required,8210,2531,5679,6771,2036,4735,1568,561,1007,82,3441,27639,120,0,253,21,28,621,83
218070,0.6911,Furman University,2018,South Carolina,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,29613-6162,-82.440458,34.924676,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,65024,65024,65024,More than 3 percent,2768,2,7,6,76,59,0,0,10,86783,96,14,80,Considered but not required,5469,2213,3256,3339,1243,2096,711,293,418,61,10147,241614,34,0,141,26,90,138,89
211291,0.676,Bucknell University,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,17837,-76.882616,40.954317,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,72750,72750,72750,More than 3 percent,3597,6,4,7,72,51,0,0,9,102805,54,11,88,Required,10144,5231,4913,3352,1608,1744,974,459,515,33,12013,225154,72,678,417,64,89,553,92
215770,0.628,Saint Joseph's University,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,19131-1395,-75.238343,39.994442,Master's Colleges & Universities: Larger Programs,Roman Catholic,61994,61994,61994,More than 3 percent,4904,3,6,7,77,55,3,17,11,94933,92,12,80,Considered but not required,8843,4006,4837,6749,3000,3749,1129,507,622,76,4998,40616,221,0,339,14,42,2347,88
143358,0.6155,Bradley University,2018,Illinois,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,61625-0001,-89.616786,40.696896,Master's Colleges & Universities: Larger Programs,Not applicable,47820,47820,47820,More than 3 percent,4606,3,7,10,73,51,0,14,12,81368,94,27,78,Required,11209,4647,6562,7489,3095,4394,1090,526,564,67,2114,53004,312,800,163,12,49,669,85
213367,0.5849,La Salle University,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,19141-1199,-75.153061,40.037979,Master's Colleges & Universities: Larger Programs,Roman Catholic,47110,47110,47110,More than 3 percent,3904,5,20,19,48,62,3,7,12,86281,89,42,67,Recommended,6642,2456,4186,5392,1940,3452,1049,384,665,81,4125,16481,129,0,206,12,23,919,71
153269,0.5496,Drake University,2018,Iowa,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,50311-4505,-93.652163,41.60129,Doctoral/Professional Universities,Not applicable,56724,56724,56724,3 percent or less,3015,4,5,6,76,58,0,6,10,85597,96,17,78,Required,6886,2943,3943,4659,1928,2731,750,295,455,68,6789,53211,110,0,225,21,69,800,84
189705,0.5411,Canisius College,2018,New York,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,14208-1098,-78.852577,42.925206,Master's Colleges & Universities: Larger Programs,Roman Catholic,42288,42288,42288,More than 3 percent,2256,3,9,5,71,48,0,16,12,74614,94,33,68,Required,3549,1664,1885,2793,1325,1468,485,244,241,79,6029,41822,88,14,415,25,37,508,84
219976,0.5375,Lipscomb University,2018,Tennessee,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,37204-3951,-86.799791,36.106253,Doctoral/Professional Universities,Churches of Christ,49546,49546,49546,More than 3 percent,2938,3,7,8,75,61,3,20,13,69691,79,26,65,Required,3638,1283,2355,2165,763,1402,671,263,408,60,4808,19131,221,212,325,14,16,518,83
191931,0.5333,Iona College,2018,New York,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,10801-1890,-73.788046,40.925725,Master's Colleges & Universities: Larger Programs,Roman Catholic,57440,57440,57440,More than 3 percent,3287,2,10,23,50,51,0,4,16,88267,90,32,67,Required,10062,4307,5755,8871,3752,5119,853,452,401,88,6325,40616,58,0,45,9,29,519,72
186283,0.527,Rider University,2018,New Jersey,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,08648-3099,-74.737833,40.278796,Master's Colleges & Universities: Larger Programs,Not applicable,62140,62140,62140,More than 3 percent,3920,5,13,16,57,58,2,17,10,100022,90,30,65,Considered but not required,9429,3693,5736,6569,2570,3999,921,386,535,70,5761,13830,520,0,156,13,46,1088,77
140447,0.5157,Mercer University,2018,Georgia,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,31207,-83.648295,32.831787,Doctoral Universities: High Research Activity,Not applicable,52488,52488,52488,More than 3 percent,4797,7,28,6,48,62,9,14,13,77737,91,33,66,Required,5454,2150,3304,3927,1595,2332,973,433,540,72,3204,41780,282,611,343,15,50,689,86
218973,0.5047,Wofford College,2018,South Carolina,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,29303-3663,-81.933568,34.959411,Baccalaureate Colleges: Arts & Sciences Focus,United Methodist,60363,60363,60363,More than 3 percent,1666,2,8,4,80,53,0,0,11,73799,94,16,81,Considered but not required,3520,1576,1944,2238,951,1287,465,208,257,64,10948,115855,0,0,186,26,59,204,92
152600,0.502,Valparaiso University,2018,Indiana,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,46383,-87.040172,41.462239,Doctoral/Professional Universities,Lutheran Church in America,54940,54940,54940,More than 3 percent,3199,2,6,9,72,56,0,8,11,68475,96,29,71,Required,7062,3222,3840,6307,2839,3468,756,331,425,89,6421,62000,184,539,169,44,166,441,84
231624,0.4815,William & Mary,2018,Virginia,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,23187-8795,-76.708214,37.269489,Doctoral Universities: High Research Activity,Not applicable,39221,39221,61093,More than 3 percent,6377,8,7,9,59,58,0,0,11,100353,49,12,91,Required,14644,5654,8990,5406,2392,3014,1545,648,897,37,2153,108018,0,0,389,117,219,355,95
209612,0.4756,Pacific University,2018,Oregon,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,97116,-123.108777,45.521394,Doctoral/Professional Universities,Not applicable,59490,59490,59490,More than 3 percent,1894,11,2,16,50,62,2,4,10,74068,91,30,65,Required,2491,1059,1432,2125,885,1240,421,168,253,85,3587,16896,84,0,86,22,40,112,81
236595,0.4744,Seattle University,2018,Washington,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,98122-4340,-122.318851,47.608859,Doctoral/Professional Universities,Roman Catholic,61608,61608,61608,3 percent or less,4685,16,3,13,42,60,0,1,11,86603,88,20,74,Required,8640,2964,5676,6536,2294,4242,1083,431,652,76,6099,37591,0,353,260,50,119,903,88
186131,0.4689,Princeton University,2018,New Jersey,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,08544-0070,-74.659365,40.348732,Doctoral Universities: Very High Research Activity,Not applicable,70900,70900,70900,3 percent or less,5428,21,8,10,41,49,0,0,5,181669,59,19,96,Required,35370,18201,17169,1940,960,980,1339,681,658,5,15949,3053449,0,664,279,73,164,0,98
199111,0.4561,University of North Carolina at Asheville,2018,North Carolina,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,28804-8510,-82.565392,35.617068,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,20189,20189,36912,More than 3 percent,3743,2,5,8,76,57,2,6,13,75089,57,34,63,Required,3219,1183,2036,3014,1076,1938,788,319,469,94,1972,14077,0,77,113,32,91,148,73
233277,0.4559,Radford University,2018,Virginia,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,24142,-80.549728,37.136907,Master's Colleges & Universities: Larger Programs,Not applicable,24088,24088,36170,More than 3 percent,7926,2,17,7,66,57,2,29,16,75061,55,36,59,Recommended,14161,5063,9098,10561,3583,6978,1762,727,1035,75,891,6273,580,0,461,51,184,1032,71
185572,0.4537,Monmouth University,2018,New Jersey,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,07764-1898,-74.006447,40.280066,Master's Colleges & Universities: Larger Programs,Not applicable,56979,56979,56979,More than 3 percent,4630,3,5,14,70,58,0,7,13,81808,96,30,69,Required,9226,3780,5446,7105,2741,4364,1050,434,616,77,2835,16429,315,42,320,79,80,1227,81
218964,0.4528,Winthrop University,2018,South Carolina,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,29733,-81.031404,34.941515,Master's Colleges & Universities: Larger Programs,Not applicable,28938,28938,43194,More than 3 percent,4887,1,29,5,58,70,1,38,14,68169,81,42,56,Required,5190,1543,3647,3492,981,2511,991,294,697,67,3376,10204,756,0,396,48,106,739,70
212106,0.4469,Duquesne University,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,15282,-79.993123,40.43589,Doctoral Universities: High Research Activity,Roman Catholic,54364,54364,54364,More than 3 percent,6013,3,5,4,80,64,1,13,13,85386,94,20,80,Required,7505,2534,4971,5392,1879,3513,1512,553,959,72,1835,39629,494,111,330,40,68,1400,85
159966,0.4465,Nicholls State University,2018,Louisiana,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,70310,-90.801571,29.794486,Master's Colleges & Universities: Larger Programs,Not applicable,23118,23118,24211,More than 3 percent,5864,1,18,4,69,64,9,39,19,55064,75,38,45,Required,2651,1043,1608,2484,963,1521,1301,502,799,94,1412,1524,401,0,432,60,82,1087,73
197197,0.4236,Wagner College,2018,New York,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,10301-4495,-74.092913,40.615588,Master's Colleges & Universities: Medium Programs,Lutheran Church in America,64382,64382,64382,More than 3 percent,1769,5,7,13,62,65,0,0,15,75371,98,22,69,Recommended,2898,1153,1745,2023,701,1322,418,171,247,70,9307,37201,32,0,38,9,16,147,80
190099,0.4084,Colgate University,2018,New York,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,13346-1398,-75.536346,42.819475,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,72275,72275,72275,More than 3 percent,2958,5,5,9,65,55,0,0,9,106252,47,12,89,Required,9716,4476,5240,2422,1019,1403,815,356,459,25,15190,312980,50,0,213,46,104,0,95
129242,0.3743,Fairfield University,2018,Connecticut,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,06824-5195,-73.255903,41.157673,Master's Colleges & Universities: Larger Programs,Roman Catholic,65940,65940,65940,More than 3 percent,4177,3,2,7,76,60,0,11,12,102275,83,12,81,Neither required nor recommended,11361,4603,6758,6851,2810,4041,1091,440,651,60,6424,73550,0,278,239,57,28,1646,90
186432,0.3625,Saint Peter's University,2018,New Jersey,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,07306-5997,-74.071541,40.727105,Master's Colleges & Universities: Larger Programs,Roman Catholic,55200,55200,55200,3 percent or less,2641,8,21,45,14,64,6,16,14,78264,91,64,50,Considered but not required,4041,1564,2477,3000,1117,1883,563,220,343,74,5204,10685,101,0,422,21,45,500,81
198136,0.3602,Campbell University,2018,North Carolina,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,27506,-78.738238,35.409149,Doctoral/Professional Universities,Baptist,49640,49640,49640,3 percent or less,4242,2,15,9,59,52,14,14,16,77636,88,36,53,Required,6240,2433,3807,4761,1813,2948,830,358,472,76,3427,21883,210,162,344,12,15,711,76
213543,0.3511,Lehigh University,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,18015,-75.380236,40.606822,Doctoral Universities: High Research Activity,Not applicable,68595,68595,68595,More than 3 percent,5047,8,3,10,63,46,0,0,9,121649,50,15,87,Required,15622,8629,6993,3488,1708,1780,1275,664,611,22,5881,203905,0,1058,256,50,88,703,93
192703,0.3501,Manhattan College,2018,New York,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,10471-4098,-73.901893,40.889756,Master's Colleges & Universities: Larger Programs,Roman Catholic,62128,62128,62128,More than 3 percent,3654,5,6,23,55,45,0,0,13,100588,97,30,74,Required,7882,4282,3600,5876,3147,2727,815,360,455,75,6069,25772,236,1123,146,26,28,722,81
193973,0.3486,Niagara University,2018,New York,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,14109,-79.036689,43.137279,Master's Colleges & Universities: Larger Programs,Roman Catholic,49830,49830,49830,More than 3 percent,2816,2,5,5,67,63,0,20,11,78218,92,29,71,Considered but not required,3105,1111,1994,2690,973,1717,515,183,332,87,3379,27577,529,0,201,9,21,630,87
215743,0.3424,Saint Francis University,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,15940,-78.63904,40.506734,Master's Colleges & Universities: Larger Programs,Roman Catholic,53700,53700,53700,3 percent or less,2102,2,6,1,82,65,11,69,14,64296,69,19,69,Required,1706,661,1045,1286,472,814,343,123,220,75,5990,18231,54,54,84,18,38,277,85
117946,0.3373,Loyola Marymount University,2018,California,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,90045-2659,-118.415744,33.97085,Doctoral Universities: High Research Activity,Roman Catholic,67369,67369,67369,More than 3 percent,6700,10,7,22,44,55,0,2,10,104853,77,17,84,Required,17846,7293,10553,8411,3316,5095,1512,656,856,47,7518,56649,0,374,317,46,86,1586,89
163462,0.3262,Mount St. Mary's University,2018,Maryland,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,21727-7799,-77.351887,39.681705,Master's Colleges & Universities: Medium Programs,Roman Catholic,57125,57125,57125,More than 3 percent,1888,3,16,12,61,51,1,7,13,70222,94,27,64,Required,5462,2177,3285,3721,1501,2220,549,269,280,68,3950,23068,119,0,151,20,18,274,79
121150,0.3236,Pepperdine University,2018,California,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,90263,-118.707077,34.037786,Doctoral/Professional Universities,Churches of Christ,73002,73002,73002,More than 3 percent,3627,10,5,14,49,59,2,0,14,111487,79,17,83,Required,11265,4073,7192,4016,1686,2330,803,350,453,36,6955,101078,32,0,221,44,48,798,91
207582,0.3222,Oral Roberts University,2018,Oklahoma,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,74171,-95.952547,36.049129,Baccalaureate Colleges: Diverse Fields,Other Protestant,42660,42660,42660,3 percent or less,3529,2,14,12,43,60,14,0,16,67338,86,41,57,Required,2867,1082,1785,2308,908,1400,520,212,308,81,3704,13086,175,159,230,13,11,467,81
